samples,times,losses,model
0,0,0.09070000052452087,MabEpsilonGreedy
100,1,0.10100000351667404,MabEpsilonGreedy
200,1,0.10100000351667404,MabEpsilonGreedy
300,2,0.10159999877214432,MabEpsilonGreedy
400,2,0.11410000175237656,MabEpsilonGreedy
500,3,0.13760000467300415,MabEpsilonGreedy
600,4,0.1607999950647354,MabEpsilonGreedy
700,4,0.17659999430179596,MabEpsilonGreedy
800,5,0.19380000233650208,MabEpsilonGreedy
900,5,0.19580000638961792,MabEpsilonGreedy
1000,6,0.1881999969482422,MabEpsilonGreedy
1100,6,0.18850000202655792,MabEpsilonGreedy
1200,7,0.19750000536441803,MabEpsilonGreedy
1300,7,0.2076999992132187,MabEpsilonGreedy
1400,8,0.21739999949932098,MabEpsilonGreedy
1500,9,0.2175000011920929,MabEpsilonGreedy
1600,9,0.21809999644756317,MabEpsilonGreedy
1700,10,0.21529999375343323,MabEpsilonGreedy
1800,10,0.21459999680519104,MabEpsilonGreedy
1900,11,0.21469999849796295,MabEpsilonGreedy
2000,11,0.21649999916553497,MabEpsilonGreedy
2100,12,0.2184000015258789,MabEpsilonGreedy
2200,12,0.22519999742507935,MabEpsilonGreedy
2300,13,0.2329999953508377,MabEpsilonGreedy
2400,14,0.24079999327659607,MabEpsilonGreedy
2500,14,0.2590000033378601,MabEpsilonGreedy
2600,15,0.2653000056743622,MabEpsilonGreedy
2700,15,0.2619999945163727,MabEpsilonGreedy
2800,16,0.24809999763965607,MabEpsilonGreedy
2900,16,0.2393999993801117,MabEpsilonGreedy
3000,17,0.2433999925851822,MabEpsilonGreedy
3100,18,0.25459998846054077,MabEpsilonGreedy
3200,18,0.2689000070095062,MabEpsilonGreedy
3300,19,0.2842999994754791,MabEpsilonGreedy
3400,19,0.29499998688697815,MabEpsilonGreedy
3500,20,0.298799991607666,MabEpsilonGreedy
3600,20,0.299699991941452,MabEpsilonGreedy
3700,21,0.2957000136375427,MabEpsilonGreedy
3800,22,0.2912999987602234,MabEpsilonGreedy
3900,22,0.28760001063346863,MabEpsilonGreedy
4000,23,0.2854999899864197,MabEpsilonGreedy
4100,23,0.28790000081062317,MabEpsilonGreedy
4200,24,0.2903999984264374,MabEpsilonGreedy
4300,24,0.30059999227523804,MabEpsilonGreedy
4400,25,0.3133000135421753,MabEpsilonGreedy
4500,26,0.3230000138282776,MabEpsilonGreedy
4600,26,0.33329999446868896,MabEpsilonGreedy
4700,27,0.3434000015258789,MabEpsilonGreedy
4800,27,0.35179999470710754,MabEpsilonGreedy
4900,28,0.35569998621940613,MabEpsilonGreedy
5000,29,0.35830000042915344,MabEpsilonGreedy
5100,29,0.35839998722076416,MabEpsilonGreedy
5200,30,0.35659998655319214,MabEpsilonGreedy
5300,30,0.35440000891685486,MabEpsilonGreedy
5400,31,0.35409998893737793,MabEpsilonGreedy
5500,31,0.3555999994277954,MabEpsilonGreedy
5600,32,0.3578000068664551,MabEpsilonGreedy
5700,33,0.3596000075340271,MabEpsilonGreedy
5800,33,0.3587000072002411,MabEpsilonGreedy
5900,34,0.35690000653266907,MabEpsilonGreedy
6000,35,0.35519999265670776,MabEpsilonGreedy
6100,35,0.35519999265670776,MabEpsilonGreedy
6200,36,0.3562999963760376,MabEpsilonGreedy
6300,36,0.3562999963760376,MabEpsilonGreedy
6400,37,0.3564000129699707,MabEpsilonGreedy
6500,37,0.3582000136375427,MabEpsilonGreedy
6600,38,0.35839998722076416,MabEpsilonGreedy
6700,39,0.35910001397132874,MabEpsilonGreedy
6800,39,0.3610999882221222,MabEpsilonGreedy
6900,40,0.36320000886917114,MabEpsilonGreedy
7000,40,0.3644999861717224,MabEpsilonGreedy
7100,41,0.36820000410079956,MabEpsilonGreedy
7200,42,0.3709999918937683,MabEpsilonGreedy
7300,42,0.37529999017715454,MabEpsilonGreedy
7400,43,0.37880000472068787,MabEpsilonGreedy
7500,43,0.382099986076355,MabEpsilonGreedy
7600,44,0.3856000006198883,MabEpsilonGreedy
7700,44,0.3880000114440918,MabEpsilonGreedy
7800,45,0.38960000872612,MabEpsilonGreedy
7900,45,0.3896999955177307,MabEpsilonGreedy
8000,46,0.39100000262260437,MabEpsilonGreedy
8100,47,0.39100000262260437,MabEpsilonGreedy
8200,47,0.39010000228881836,MabEpsilonGreedy
8300,48,0.38999998569488525,MabEpsilonGreedy
8400,48,0.38989999890327454,MabEpsilonGreedy
8500,49,0.3894999921321869,MabEpsilonGreedy
8600,50,0.3889000117778778,MabEpsilonGreedy
8700,50,0.38830000162124634,MabEpsilonGreedy
8800,51,0.387800008058548,MabEpsilonGreedy
8900,51,0.3880000114440918,MabEpsilonGreedy
9000,52,0.38830000162124634,MabEpsilonGreedy
9100,52,0.38839998841285706,MabEpsilonGreedy
9200,53,0.3885999917984009,MabEpsilonGreedy
9300,54,0.3882000148296356,MabEpsilonGreedy
9400,54,0.38830000162124634,MabEpsilonGreedy
9500,55,0.3880999982357025,MabEpsilonGreedy
9600,55,0.38760000467300415,MabEpsilonGreedy
9700,56,0.3874000012874603,MabEpsilonGreedy
9800,56,0.38760000467300415,MabEpsilonGreedy
9900,57,0.3882000148296356,MabEpsilonGreedy
10000,58,0.388700008392334,MabEpsilonGreedy
10100,58,0.3880000114440918,MabEpsilonGreedy
10200,59,0.388700008392334,MabEpsilonGreedy
10300,59,0.3894999921321869,MabEpsilonGreedy
10400,60,0.38940000534057617,MabEpsilonGreedy
10500,61,0.3882000148296356,MabEpsilonGreedy
10600,61,0.3880000114440918,MabEpsilonGreedy
10700,62,0.38909998536109924,MabEpsilonGreedy
10800,62,0.39169999957084656,MabEpsilonGreedy
10900,63,0.3921999931335449,MabEpsilonGreedy
11000,64,0.3944000005722046,MabEpsilonGreedy
11100,64,0.39629998803138733,MabEpsilonGreedy
11200,65,0.39750000834465027,MabEpsilonGreedy
11300,65,0.39910000562667847,MabEpsilonGreedy
11400,66,0.40059998631477356,MabEpsilonGreedy
11500,66,0.4018999934196472,MabEpsilonGreedy
11600,67,0.4027000069618225,MabEpsilonGreedy
11700,68,0.4032000005245209,MabEpsilonGreedy
11800,68,0.4043999910354614,MabEpsilonGreedy
11900,69,0.40549999475479126,MabEpsilonGreedy
12000,69,0.40700000524520874,MabEpsilonGreedy
12100,70,0.40849998593330383,MabEpsilonGreedy
12200,70,0.41040000319480896,MabEpsilonGreedy
12300,71,0.4115999937057495,MabEpsilonGreedy
12400,71,0.4129999876022339,MabEpsilonGreedy
12500,72,0.41370001435279846,MabEpsilonGreedy
12600,72,0.4147999882698059,MabEpsilonGreedy
12700,73,0.41620001196861267,MabEpsilonGreedy
12800,73,0.4163999855518341,MabEpsilonGreedy
12900,74,0.4172999858856201,MabEpsilonGreedy
13000,75,0.4163999855518341,MabEpsilonGreedy
13100,75,0.4169999957084656,MabEpsilonGreedy
13200,76,0.4174000024795532,MabEpsilonGreedy
13300,76,0.41819998621940613,MabEpsilonGreedy
13400,77,0.4196000099182129,MabEpsilonGreedy
13500,77,0.42170000076293945,MabEpsilonGreedy
13600,78,0.42170000076293945,MabEpsilonGreedy
13700,79,0.4221999943256378,MabEpsilonGreedy
13800,79,0.4239000082015991,MabEpsilonGreedy
13900,80,0.42719998955726624,MabEpsilonGreedy
14000,80,0.4318000078201294,MabEpsilonGreedy
14100,81,0.4334999918937683,MabEpsilonGreedy
14200,81,0.4359000027179718,MabEpsilonGreedy
14300,82,0.43639999628067017,MabEpsilonGreedy
14400,83,0.43639999628067017,MabEpsilonGreedy
14500,83,0.436599999666214,MabEpsilonGreedy
14600,84,0.43880000710487366,MabEpsilonGreedy
14700,84,0.4406000077724457,MabEpsilonGreedy
14800,85,0.4438999891281128,MabEpsilonGreedy
14900,85,0.4456999897956848,MabEpsilonGreedy
15000,86,0.44780001044273376,MabEpsilonGreedy
15100,87,0.4487000107765198,MabEpsilonGreedy
15200,87,0.44679999351501465,MabEpsilonGreedy
15300,88,0.44699999690055847,MabEpsilonGreedy
15400,88,0.4474000036716461,MabEpsilonGreedy
15500,89,0.44760000705718994,MabEpsilonGreedy
15600,89,0.44589999318122864,MabEpsilonGreedy
15700,90,0.4442000091075897,MabEpsilonGreedy
15800,91,0.43970000743865967,MabEpsilonGreedy
15900,91,0.4359999895095825,MabEpsilonGreedy
16000,92,0.43320000171661377,MabEpsilonGreedy
16100,92,0.42969998717308044,MabEpsilonGreedy
16200,93,0.42899999022483826,MabEpsilonGreedy
16300,94,0.42829999327659607,MabEpsilonGreedy
16400,94,0.4271000027656555,MabEpsilonGreedy
16500,95,0.42719998955726624,MabEpsilonGreedy
16600,95,0.42809998989105225,MabEpsilonGreedy
16700,96,0.4284999966621399,MabEpsilonGreedy
16800,96,0.4309999942779541,MabEpsilonGreedy
16900,97,0.4359999895095825,MabEpsilonGreedy
17000,98,0.4374000132083893,MabEpsilonGreedy
17100,98,0.4399000108242035,MabEpsilonGreedy
17200,99,0.4440000057220459,MabEpsilonGreedy
17300,99,0.4478999972343445,MabEpsilonGreedy
17400,100,0.45019999146461487,MabEpsilonGreedy
17500,101,0.45260000228881836,MabEpsilonGreedy
17600,101,0.4528000056743622,MabEpsilonGreedy
17700,102,0.4528999924659729,MabEpsilonGreedy
17800,102,0.4521999955177307,MabEpsilonGreedy
17900,103,0.44909998774528503,MabEpsilonGreedy
18000,103,0.4447999894618988,MabEpsilonGreedy
18100,104,0.44020000100135803,MabEpsilonGreedy
18200,105,0.4408999979496002,MabEpsilonGreedy
18300,105,0.4413999915122986,MabEpsilonGreedy
18400,106,0.4422999918460846,MabEpsilonGreedy
18500,106,0.44839999079704285,MabEpsilonGreedy
18600,107,0.4537000060081482,MabEpsilonGreedy
18700,108,0.4602000117301941,MabEpsilonGreedy
18800,108,0.4652000069618225,MabEpsilonGreedy
18900,109,0.4693000018596649,MabEpsilonGreedy
19000,109,0.4702000021934509,MabEpsilonGreedy
19100,110,0.47029998898506165,MabEpsilonGreedy
19200,111,0.46950000524520874,MabEpsilonGreedy
19300,111,0.4699000120162964,MabEpsilonGreedy
19400,112,0.4715000092983246,MabEpsilonGreedy
19500,112,0.4733000099658966,MabEpsilonGreedy
19600,113,0.47540000081062317,MabEpsilonGreedy
19700,113,0.47929999232292175,MabEpsilonGreedy
19800,114,0.48190000653266907,MabEpsilonGreedy
19900,114,0.4805000126361847,MabEpsilonGreedy
20000,115,0.47870001196861267,MabEpsilonGreedy
20100,116,0.4747999906539917,MabEpsilonGreedy
20200,116,0.4691999852657318,MabEpsilonGreedy
20300,117,0.46560001373291016,MabEpsilonGreedy
20400,117,0.46160000562667847,MabEpsilonGreedy
20500,118,0.45820000767707825,MabEpsilonGreedy
20600,118,0.459199994802475,MabEpsilonGreedy
20700,119,0.46140000224113464,MabEpsilonGreedy
20800,119,0.4625000059604645,MabEpsilonGreedy
20900,120,0.46399998664855957,MabEpsilonGreedy
21000,121,0.4648999869823456,MabEpsilonGreedy
21100,121,0.4668999910354614,MabEpsilonGreedy
21200,122,0.46939998865127563,MabEpsilonGreedy
21300,122,0.4717999994754791,MabEpsilonGreedy
21400,123,0.4763000011444092,MabEpsilonGreedy
21500,124,0.4778999984264374,MabEpsilonGreedy
