samples,times,losses,model
0,0,0.061900001019239426,MabExp3
100,1,0.10100000351667404,MabExp3
200,1,0.10100000351667404,MabExp3
300,2,0.10109999775886536,MabExp3
400,3,0.10840000212192535,MabExp3
500,3,0.15219999849796295,MabExp3
600,4,0.26510000228881836,MabExp3
700,4,0.37279999256134033,MabExp3
800,5,0.36739999055862427,MabExp3
900,6,0.33899998664855957,MabExp3
1000,6,0.3449999988079071,MabExp3
1100,7,0.3452000021934509,MabExp3
1200,7,0.3569999933242798,MabExp3
1300,8,0.38659998774528503,MabExp3
1400,8,0.41620001196861267,MabExp3
1500,9,0.4431999921798706,MabExp3
1600,10,0.4643000066280365,MabExp3
1700,10,0.49160000681877136,MabExp3
1800,11,0.5087000131607056,MabExp3
1900,11,0.510200023651123,MabExp3
2000,12,0.5048999786376953,MabExp3
2100,13,0.49320000410079956,MabExp3
2200,13,0.5084999799728394,MabExp3
2300,14,0.5453000068664551,MabExp3
2400,14,0.5748999714851379,MabExp3
2500,15,0.6011000275611877,MabExp3
2600,15,0.6287000179290771,MabExp3
2700,16,0.6460000276565552,MabExp3
2800,17,0.65829998254776,MabExp3
2900,17,0.6579999923706055,MabExp3
3000,18,0.6399000287055969,MabExp3
3100,18,0.6204000115394592,MabExp3
3200,19,0.5954999923706055,MabExp3
3300,19,0.5877000093460083,MabExp3
3400,20,0.5843999981880188,MabExp3
3500,21,0.6053000092506409,MabExp3
3600,21,0.6363000273704529,MabExp3
3700,22,0.6718000173568726,MabExp3
3800,22,0.7010999917984009,MabExp3
3900,23,0.7318999767303467,MabExp3
4000,23,0.7437999844551086,MabExp3
4100,24,0.7437999844551086,MabExp3
4200,24,0.7314000129699707,MabExp3
4300,25,0.7110999822616577,MabExp3
4400,26,0.6991999745368958,MabExp3
4500,26,0.6897000074386597,MabExp3
4600,27,0.6990000009536743,MabExp3
4700,27,0.7229999899864197,MabExp3
4800,28,0.7422999739646912,MabExp3
4900,28,0.7509999871253967,MabExp3
5000,29,0.746999979019165,MabExp3
5100,30,0.7440999746322632,MabExp3
5200,30,0.7473000288009644,MabExp3
5300,31,0.7630000114440918,MabExp3
5400,31,0.7815999984741211,MabExp3
5500,32,0.802299976348877,MabExp3
5600,33,0.8176000118255615,MabExp3
5700,33,0.829800009727478,MabExp3
5800,34,0.8345000147819519,MabExp3
5900,34,0.8349000215530396,MabExp3
6000,35,0.8296999931335449,MabExp3
6100,35,0.8259999752044678,MabExp3
6200,36,0.8198000192642212,MabExp3
6300,37,0.8184999823570251,MabExp3
6400,37,0.8215000033378601,MabExp3
6500,38,0.8270000219345093,MabExp3
6600,38,0.8321999907493591,MabExp3
6700,39,0.8396999835968018,MabExp3
6800,40,0.8434000015258789,MabExp3
6900,40,0.8474000096321106,MabExp3
7000,41,0.8482000231742859,MabExp3
7100,41,0.8514000177383423,MabExp3
7200,42,0.8539000153541565,MabExp3
7300,43,0.8565000295639038,MabExp3
7400,43,0.8572999835014343,MabExp3
7500,44,0.8579000234603882,MabExp3
7600,44,0.8589000105857849,MabExp3
7700,45,0.8614000082015991,MabExp3
7800,45,0.8605999946594238,MabExp3
7900,46,0.8618000149726868,MabExp3
8000,47,0.8622999787330627,MabExp3
8100,47,0.8629000186920166,MabExp3
8200,48,0.864799976348877,MabExp3
8300,48,0.866599977016449,MabExp3
8400,49,0.8672000169754028,MabExp3
8500,50,0.8671000003814697,MabExp3
8600,50,0.8679999709129333,MabExp3
8700,51,0.868399977684021,MabExp3
8800,51,0.8672000169754028,MabExp3
8900,52,0.8690999746322632,MabExp3
9000,52,0.8734999895095825,MabExp3
9100,53,0.8745999932289124,MabExp3
9200,54,0.8766000270843506,MabExp3
9300,54,0.8802000284194946,MabExp3
9400,55,0.8830000162124634,MabExp3
9500,55,0.887499988079071,MabExp3
9600,56,0.8913999795913696,MabExp3
9700,56,0.8921999931335449,MabExp3
