samples,times,losses,model
0,0,0.10580000281333923,MabExp3Ix
100,1,0.1185000017285347,MabExp3Ix
200,1,0.14480000734329224,MabExp3Ix
300,2,0.17749999463558197,MabExp3Ix
400,3,0.24310000240802765,MabExp3Ix
500,3,0.23600000143051147,MabExp3Ix
600,4,0.2418999969959259,MabExp3Ix
700,4,0.2782999873161316,MabExp3Ix
800,5,0.36820000410079956,MabExp3Ix
900,6,0.3977000117301941,MabExp3Ix
1000,6,0.37540000677108765,MabExp3Ix
1100,7,0.35370001196861267,MabExp3Ix
1200,7,0.34459999203681946,MabExp3Ix
1300,8,0.3569999933242798,MabExp3Ix
1400,9,0.38260000944137573,MabExp3Ix
1500,9,0.4108999967575073,MabExp3Ix
1600,10,0.41670000553131104,MabExp3Ix
1700,10,0.4226999878883362,MabExp3Ix
1800,11,0.4178999960422516,MabExp3Ix
1900,11,0.40860000252723694,MabExp3Ix
2000,12,0.39480000734329224,MabExp3Ix
2100,13,0.38350000977516174,MabExp3Ix
2200,13,0.39070001244544983,MabExp3Ix
2300,14,0.4115999937057495,MabExp3Ix
2400,14,0.4471000134944916,MabExp3Ix
2500,15,0.4722000062465668,MabExp3Ix
2600,15,0.4973999857902527,MabExp3Ix
2700,16,0.5220999717712402,MabExp3Ix
2800,17,0.5426999926567078,MabExp3Ix
2900,17,0.5681999921798706,MabExp3Ix
3000,18,0.6001999974250793,MabExp3Ix
3100,18,0.6227999925613403,MabExp3Ix
3200,19,0.6581000089645386,MabExp3Ix
3300,19,0.6886000037193298,MabExp3Ix
3400,20,0.7128999829292297,MabExp3Ix
3500,21,0.7325999736785889,MabExp3Ix
3600,21,0.757099986076355,MabExp3Ix
3700,22,0.7728999853134155,MabExp3Ix
3800,22,0.7847999930381775,MabExp3Ix
3900,23,0.7964000105857849,MabExp3Ix
4000,23,0.8108000159263611,MabExp3Ix
4100,24,0.8185999989509583,MabExp3Ix
4200,25,0.8156999945640564,MabExp3Ix
4300,25,0.8068000078201294,MabExp3Ix
4400,26,0.792900025844574,MabExp3Ix
4500,26,0.7889000177383423,MabExp3Ix
4600,27,0.7915999889373779,MabExp3Ix
4700,28,0.792900025844574,MabExp3Ix
4800,28,0.7950999736785889,MabExp3Ix
4900,29,0.7940000295639038,MabExp3Ix
5000,29,0.7853999733924866,MabExp3Ix
