samples,times,losses,model
0,0,0.06480000168085098,MabFtl
100,1,0.11460000276565552,MabFtl
200,1,0.1467999964952469,MabFtl
300,2,0.2076999992132187,MabFtl
400,3,0.28459998965263367,MabFtl
500,3,0.30230000615119934,MabFtl
600,4,0.2648000121116638,MabFtl
700,4,0.24079999327659607,MabFtl
800,5,0.24410000443458557,MabFtl
900,5,0.263700008392334,MabFtl
1000,6,0.2939000129699707,MabFtl
1100,6,0.304500013589859,MabFtl
1200,7,0.32429999113082886,MabFtl
1300,8,0.38940000534057617,MabFtl
1400,8,0.4171000123023987,MabFtl
1500,9,0.4309000074863434,MabFtl
1600,9,0.4490000009536743,MabFtl
1700,10,0.47350001335144043,MabFtl
1800,10,0.48989999294281006,MabFtl
1900,11,0.4991999864578247,MabFtl
2000,12,0.48980000615119934,MabFtl
2100,12,0.4875999987125397,MabFtl
2200,13,0.49239999055862427,MabFtl
2300,13,0.49160000681877136,MabFtl
2400,14,0.49779999256134033,MabFtl
2500,15,0.5110999941825867,MabFtl
2600,15,0.5313000082969666,MabFtl
2700,16,0.5509999990463257,MabFtl
2800,16,0.5644999742507935,MabFtl
2900,17,0.5742999911308289,MabFtl
3000,18,0.5838000178337097,MabFtl
3100,18,0.5882999897003174,MabFtl
3200,19,0.59579998254776,MabFtl
3300,19,0.599399983882904,MabFtl
3400,20,0.6093000173568726,MabFtl
3500,20,0.6154000163078308,MabFtl
3600,21,0.6330000162124634,MabFtl
3700,22,0.6590999960899353,MabFtl
3800,22,0.6729000210762024,MabFtl
3900,23,0.6852999925613403,MabFtl
4000,23,0.6851000189781189,MabFtl
4100,24,0.6859999895095825,MabFtl
4200,24,0.695900022983551,MabFtl
4300,25,0.7218999862670898,MabFtl
4400,25,0.7466999888420105,MabFtl
4500,26,0.7720999717712402,MabFtl
4600,27,0.7835000157356262,MabFtl
4700,27,0.7861999869346619,MabFtl
4800,28,0.7929999828338623,MabFtl
4900,28,0.8027999997138977,MabFtl
5000,29,0.8052999973297119,MabFtl
5100,29,0.807699978351593,MabFtl
5200,30,0.8080999851226807,MabFtl
5300,31,0.815500020980835,MabFtl
5400,31,0.8224999904632568,MabFtl
5500,32,0.8292999863624573,MabFtl
5600,32,0.8361999988555908,MabFtl
5700,33,0.8468999862670898,MabFtl
5800,34,0.8529000282287598,MabFtl
5900,34,0.8555999994277954,MabFtl
6000,35,0.8586999773979187,MabFtl
6100,35,0.8618000149726868,MabFtl
6200,36,0.863099992275238,MabFtl
6300,37,0.8636000156402588,MabFtl
6400,37,0.8628000020980835,MabFtl
6500,38,0.8632000088691711,MabFtl
6600,38,0.8665000200271606,MabFtl
6700,39,0.8689000010490417,MabFtl
6800,39,0.8723999857902527,MabFtl
6900,40,0.8744000196456909,MabFtl
7000,40,0.8747000098228455,MabFtl
7100,41,0.8702999949455261,MabFtl
7200,41,0.8676999807357788,MabFtl
7300,42,0.8648999929428101,MabFtl
7400,43,0.8633000254631042,MabFtl
7500,43,0.8615999817848206,MabFtl
7600,44,0.8669000267982483,MabFtl
7700,44,0.8730000257492065,MabFtl
7800,45,0.8773000240325928,MabFtl
7900,46,0.8766000270843506,MabFtl
8000,46,0.8726000189781189,MabFtl
8100,47,0.8682000041007996,MabFtl
8200,47,0.862500011920929,MabFtl
8300,48,0.8575000166893005,MabFtl
8400,49,0.8539000153541565,MabFtl
8500,49,0.8500999808311462,MabFtl
8600,50,0.8464000225067139,MabFtl
8700,50,0.8456000089645386,MabFtl
8800,51,0.8432000279426575,MabFtl
8900,52,0.8425999879837036,MabFtl
9000,52,0.8435999751091003,MabFtl
9100,53,0.8468999862670898,MabFtl
9200,53,0.8471999764442444,MabFtl
9300,54,0.8483999967575073,MabFtl
9400,55,0.8639000058174133,MabFtl
9500,55,0.8755999803543091,MabFtl
9600,56,0.8801000118255615,MabFtl
9700,56,0.885200023651123,MabFtl
9800,57,0.8873000144958496,MabFtl
9900,58,0.8871999979019165,MabFtl
10000,58,0.8865000009536743,MabFtl
10100,59,0.8866999745368958,MabFtl
10200,59,0.8873000144958496,MabFtl
10300,60,0.8888999819755554,MabFtl
10400,61,0.8919000029563904,MabFtl
10500,61,0.8949999809265137,MabFtl
10600,62,0.9002000093460083,MabFtl
10700,62,0.9021999835968018,MabFtl
10800,63,0.9041000008583069,MabFtl
10900,64,0.9042999744415283,MabFtl
11000,64,0.9039000272750854,MabFtl
11100,65,0.9039999842643738,MabFtl
11200,65,0.9010999798774719,MabFtl
11300,66,0.8985000252723694,MabFtl
11400,66,0.8956999778747559,MabFtl
11500,67,0.8952000141143799,MabFtl
11600,68,0.8930000066757202,MabFtl
11700,68,0.8944000005722046,MabFtl
11800,69,0.8967000246047974,MabFtl
11900,69,0.8967999815940857,MabFtl
12000,70,0.8978000283241272,MabFtl
12100,70,0.8985999822616577,MabFtl
12200,71,0.8974000215530396,MabFtl
12300,72,0.8978000283241272,MabFtl
12400,72,0.8992000222206116,MabFtl
12500,73,0.9004999995231628,MabFtl
12600,73,0.9018999934196472,MabFtl
12700,74,0.9021999835968018,MabFtl
12800,75,0.9034000039100647,MabFtl
12900,75,0.9078999757766724,MabFtl
13000,76,0.9085000157356262,MabFtl
13100,76,0.9106000065803528,MabFtl
13200,77,0.9118000268936157,MabFtl
13300,77,0.9106000065803528,MabFtl
13400,78,0.9103999733924866,MabFtl
13500,78,0.9086999893188477,MabFtl
13600,79,0.9075000286102295,MabFtl
13700,80,0.906499981880188,MabFtl
13800,80,0.9068999886512756,MabFtl
13900,81,0.9056000113487244,MabFtl
14000,81,0.9067999720573425,MabFtl
14100,82,0.9089999794960022,MabFtl
14200,82,0.909500002861023,MabFtl
14300,83,0.9089000225067139,MabFtl
14400,84,0.9065999984741211,MabFtl
14500,84,0.9077000021934509,MabFtl
14600,85,0.9081000089645386,MabFtl
14700,85,0.911300003528595,MabFtl
14800,86,0.9121999740600586,MabFtl
14900,86,0.9128000140190125,MabFtl
15000,87,0.9132999777793884,MabFtl
15100,88,0.9156000018119812,MabFtl
15200,88,0.9185000061988831,MabFtl
15300,89,0.9197999835014343,MabFtl
15400,89,0.9193999767303467,MabFtl
15500,90,0.9168999791145325,MabFtl
15600,90,0.9150000214576721,MabFtl
15700,91,0.9136999845504761,MabFtl
15800,91,0.9118000268936157,MabFtl
15900,92,0.9118000268936157,MabFtl
16000,93,0.911300003528595,MabFtl
16100,93,0.9135000109672546,MabFtl
16200,94,0.914900004863739,MabFtl
16300,94,0.9168999791145325,MabFtl
16400,95,0.9182000160217285,MabFtl
16500,95,0.919700026512146,MabFtl
16600,96,0.9193000197410583,MabFtl
16700,97,0.9178000092506409,MabFtl
16800,97,0.9157999753952026,MabFtl
16900,98,0.9144999980926514,MabFtl
17000,98,0.9136999845504761,MabFtl
17100,99,0.9124000072479248,MabFtl
17200,99,0.9132000207901001,MabFtl
17300,100,0.9151999950408936,MabFtl
17400,101,0.9168000221252441,MabFtl
17500,101,0.9186000227928162,MabFtl
17600,102,0.9179999828338623,MabFtl
17700,102,0.9179999828338623,MabFtl
17800,103,0.9172000288963318,MabFtl
17900,104,0.9153000116348267,MabFtl
18000,104,0.9135000109672546,MabFtl
18100,105,0.9139999747276306,MabFtl
18200,105,0.9169999957084656,MabFtl
18300,106,0.9186999797821045,MabFtl
18400,107,0.9210000038146973,MabFtl
18500,107,0.9229999780654907,MabFtl
18600,108,0.9240000247955322,MabFtl
18700,108,0.9253000020980835,MabFtl
18800,109,0.9261999726295471,MabFtl
18900,110,0.9251000285148621,MabFtl
19000,110,0.9243999719619751,MabFtl
19100,111,0.9239000082015991,MabFtl
19200,111,0.9228000044822693,MabFtl
19300,112,0.9222999811172485,MabFtl
19400,112,0.9225999712944031,MabFtl
19500,113,0.9236000180244446,MabFtl
19600,113,0.9236999750137329,MabFtl
19700,114,0.9244999885559082,MabFtl
19800,115,0.9257000088691711,MabFtl
19900,115,0.9266999959945679,MabFtl
20000,116,0.9277999997138977,MabFtl
20100,116,0.929099977016449,MabFtl
20200,117,0.9293000102043152,MabFtl
20300,118,0.9296000003814697,MabFtl
20400,118,0.930400013923645,MabFtl
20500,119,0.9316999912261963,MabFtl
20600,119,0.9319000244140625,MabFtl
20700,120,0.932200014591217,MabFtl
20800,120,0.9315999746322632,MabFtl
20900,121,0.9320999979972839,MabFtl
21000,121,0.9316999912261963,MabFtl
21100,122,0.9319999814033508,MabFtl
21200,123,0.9322999715805054,MabFtl
21300,123,0.9327999949455261,MabFtl
21400,124,0.9325000047683716,MabFtl
21500,124,0.9326000213623047,MabFtl
21600,125,0.9314000010490417,MabFtl
21700,126,0.929099977016449,MabFtl
21800,126,0.928600013256073,MabFtl
21900,127,0.928600013256073,MabFtl
22000,127,0.9294000267982483,MabFtl
22100,128,0.9293000102043152,MabFtl
