samples,times,losses,model
0,0,0.09950000047683716,MabThompsonSampling
100,1,0.10109999775886536,MabThompsonSampling
200,1,0.10109999775886536,MabThompsonSampling
300,2,0.1023000031709671,MabThompsonSampling
400,3,0.1527000069618225,MabThompsonSampling
500,3,0.1972000002861023,MabThompsonSampling
600,4,0.1590999960899353,MabThompsonSampling
700,4,0.10980000346899033,MabThompsonSampling
800,5,0.09960000216960907,MabThompsonSampling
900,6,0.09870000183582306,MabThompsonSampling
1000,6,0.10220000147819519,MabThompsonSampling
1100,7,0.12439999729394913,MabThompsonSampling
1200,7,0.17069999873638153,MabThompsonSampling
1300,8,0.21299999952316284,MabThompsonSampling
1400,9,0.2378000020980835,MabThompsonSampling
1500,9,0.2535000145435333,MabThompsonSampling
1600,10,0.25699999928474426,MabThompsonSampling
1700,10,0.2809999883174896,MabThompsonSampling
1800,11,0.30140000581741333,MabThompsonSampling
1900,12,0.33649998903274536,MabThompsonSampling
2000,12,0.3610999882221222,MabThompsonSampling
2100,13,0.36890000104904175,MabThompsonSampling
2200,13,0.3614000082015991,MabThompsonSampling
2300,14,0.37389999628067017,MabThompsonSampling
2400,14,0.3790999948978424,MabThompsonSampling
2500,15,0.3804999887943268,MabThompsonSampling
2600,16,0.39399999380111694,MabThompsonSampling
2700,16,0.40070000290870667,MabThompsonSampling
2800,17,0.4092000126838684,MabThompsonSampling
2900,17,0.41350001096725464,MabThompsonSampling
3000,18,0.4133000075817108,MabThompsonSampling
3100,18,0.42559999227523804,MabThompsonSampling
3200,19,0.44040000438690186,MabThompsonSampling
3300,20,0.4560999870300293,MabThompsonSampling
3400,20,0.4618000090122223,MabThompsonSampling
3500,21,0.4740999937057495,MabThompsonSampling
3600,21,0.4927999973297119,MabThompsonSampling
3700,22,0.5081999897956848,MabThompsonSampling
3800,22,0.5194000005722046,MabThompsonSampling
3900,23,0.5304999947547913,MabThompsonSampling
4000,23,0.5357999801635742,MabThompsonSampling
4100,24,0.5489000082015991,MabThompsonSampling
4200,25,0.5572999715805054,MabThompsonSampling
4300,25,0.5687000155448914,MabThompsonSampling
4400,26,0.5724999904632568,MabThompsonSampling
4500,26,0.5751000046730042,MabThompsonSampling
4600,27,0.5803999900817871,MabThompsonSampling
4700,27,0.582099974155426,MabThompsonSampling
4800,28,0.5879999995231628,MabThompsonSampling
4900,29,0.6010000109672546,MabThompsonSampling
5000,29,0.6132000088691711,MabThompsonSampling
5100,30,0.621399998664856,MabThompsonSampling
5200,30,0.6243000030517578,MabThompsonSampling
5300,31,0.6281999945640564,MabThompsonSampling
5400,32,0.6287999749183655,MabThompsonSampling
5500,32,0.628600001335144,MabThompsonSampling
5600,33,0.6312000155448914,MabThompsonSampling
5700,33,0.6384000182151794,MabThompsonSampling
5800,34,0.647599995136261,MabThompsonSampling
5900,34,0.65420001745224,MabThompsonSampling
6000,35,0.6571999788284302,MabThompsonSampling
6100,36,0.6586999893188477,MabThompsonSampling
6200,36,0.654699981212616,MabThompsonSampling
6300,37,0.6492000222206116,MabThompsonSampling
6400,37,0.6425999999046326,MabThompsonSampling
6500,38,0.6359999775886536,MabThompsonSampling
6600,38,0.637499988079071,MabThompsonSampling
6700,39,0.6385999917984009,MabThompsonSampling
6800,40,0.6385999917984009,MabThompsonSampling
6900,40,0.6402999758720398,MabThompsonSampling
7000,41,0.6467999815940857,MabThompsonSampling
7100,41,0.6635000109672546,MabThompsonSampling
7200,42,0.680400013923645,MabThompsonSampling
7300,42,0.6894999742507935,MabThompsonSampling
7400,43,0.6948999762535095,MabThompsonSampling
7500,44,0.6980999708175659,MabThompsonSampling
7600,44,0.6974999904632568,MabThompsonSampling
7700,45,0.694599986076355,MabThompsonSampling
7800,45,0.6959999799728394,MabThompsonSampling
7900,46,0.6935999989509583,MabThompsonSampling
8000,47,0.6933000087738037,MabThompsonSampling
8100,47,0.6912000179290771,MabThompsonSampling
8200,48,0.6963000297546387,MabThompsonSampling
8300,48,0.6991999745368958,MabThompsonSampling
8400,49,0.701200008392334,MabThompsonSampling
8500,49,0.7024999856948853,MabThompsonSampling
8600,50,0.7002000212669373,MabThompsonSampling
8700,51,0.6980000138282776,MabThompsonSampling
8800,51,0.6995999813079834,MabThompsonSampling
8900,52,0.6991999745368958,MabThompsonSampling
9000,52,0.7009999752044678,MabThompsonSampling
9100,53,0.7020000219345093,MabThompsonSampling
9200,54,0.703499972820282,MabThompsonSampling
9300,54,0.7046999931335449,MabThompsonSampling
9400,55,0.7056000232696533,MabThompsonSampling
9500,55,0.7070000171661377,MabThompsonSampling
9600,56,0.7081999778747559,MabThompsonSampling
9700,56,0.7070000171661377,MabThompsonSampling
9800,57,0.7059000134468079,MabThompsonSampling
