samples,times,losses,model
0,0,0.044199999421834946,MabUcb1
100,1,0.10100000351667404,MabUcb1
200,1,0.10100000351667404,MabUcb1
300,2,0.1014999970793724,MabUcb1
400,3,0.10580000281333923,MabUcb1
500,3,0.1290999948978424,MabUcb1
600,4,0.17329999804496765,MabUcb1
700,4,0.24150000512599945,MabUcb1
800,5,0.2928999960422516,MabUcb1
900,6,0.30889999866485596,MabUcb1
1000,6,0.3138999938964844,MabUcb1
1100,7,0.33250001072883606,MabUcb1
1200,7,0.3573000133037567,MabUcb1
1300,8,0.4108999967575073,MabUcb1
1400,8,0.49380001425743103,MabUcb1
1500,9,0.551800012588501,MabUcb1
1600,10,0.5809000134468079,MabUcb1
1700,10,0.5960999727249146,MabUcb1
1800,11,0.6026999950408936,MabUcb1
1900,11,0.6079000234603882,MabUcb1
2000,12,0.613099992275238,MabUcb1
2100,13,0.6198999881744385,MabUcb1
2200,13,0.619700014591217,MabUcb1
2300,14,0.6270999908447266,MabUcb1
2400,14,0.6488999724388123,MabUcb1
2500,15,0.669700026512146,MabUcb1
2600,15,0.6761000156402588,MabUcb1
2700,16,0.6834999918937683,MabUcb1
2800,16,0.698199987411499,MabUcb1
2900,17,0.7139000296592712,MabUcb1
3000,18,0.734499990940094,MabUcb1
3100,18,0.7501000165939331,MabUcb1
3200,19,0.7565000057220459,MabUcb1
3300,19,0.767799973487854,MabUcb1
3400,20,0.7797999978065491,MabUcb1
3500,21,0.7858999967575073,MabUcb1
3600,21,0.7889000177383423,MabUcb1
3700,22,0.795799970626831,MabUcb1
3800,22,0.8047000169754028,MabUcb1
3900,23,0.8094000220298767,MabUcb1
4000,24,0.8159000277519226,MabUcb1
4100,24,0.8195000290870667,MabUcb1
4200,25,0.8226000070571899,MabUcb1
4300,25,0.8248000144958496,MabUcb1
4400,26,0.8245999813079834,MabUcb1
4500,26,0.8281000256538391,MabUcb1
4600,27,0.829800009727478,MabUcb1
4700,28,0.8360999822616577,MabUcb1
4800,28,0.8432000279426575,MabUcb1
4900,29,0.8482000231742859,MabUcb1
5000,29,0.8496999740600586,MabUcb1
5100,30,0.8511000275611877,MabUcb1
5200,30,0.852400004863739,MabUcb1
5300,31,0.8532999753952026,MabUcb1
5400,32,0.8537999987602234,MabUcb1
5500,32,0.8575000166893005,MabUcb1
5600,33,0.8610000014305115,MabUcb1
5700,33,0.8650000095367432,MabUcb1
5800,34,0.8684999942779541,MabUcb1
5900,34,0.869700014591217,MabUcb1
6000,35,0.8708999752998352,MabUcb1
6100,36,0.8695999979972839,MabUcb1
6200,36,0.8677999973297119,MabUcb1
6300,37,0.8664000034332275,MabUcb1
6400,37,0.8659999966621399,MabUcb1
6500,38,0.8648999929428101,MabUcb1
6600,38,0.8629000186920166,MabUcb1
6700,39,0.8659999966621399,MabUcb1
6800,40,0.8677999973297119,MabUcb1
6900,40,0.8709999918937683,MabUcb1
7000,41,0.8702999949455261,MabUcb1
7100,41,0.871399998664856,MabUcb1
7200,42,0.8690999746322632,MabUcb1
7300,42,0.8705000281333923,MabUcb1
7400,43,0.8705000281333923,MabUcb1
7500,43,0.8761000037193298,MabUcb1
7600,44,0.8806999921798706,MabUcb1
7700,44,0.8823999762535095,MabUcb1
7800,45,0.8863000273704529,MabUcb1
7900,46,0.8901000022888184,MabUcb1
8000,46,0.8924999833106995,MabUcb1
8100,47,0.8898000121116638,MabUcb1
8200,47,0.8870000243186951,MabUcb1
8300,48,0.8834999799728394,MabUcb1
8400,49,0.8774999976158142,MabUcb1
8500,49,0.8769999742507935,MabUcb1
8600,50,0.8759999871253967,MabUcb1
8700,50,0.8791999816894531,MabUcb1
8800,51,0.8889999985694885,MabUcb1
8900,52,0.8945000171661377,MabUcb1
9000,52,0.8970000147819519,MabUcb1
9100,53,0.8966000080108643,MabUcb1
9200,53,0.8949000239372253,MabUcb1
9300,54,0.8934000134468079,MabUcb1
9400,55,0.8912000060081482,MabUcb1
9500,55,0.8884000182151794,MabUcb1
9600,56,0.8845000267028809,MabUcb1
9700,56,0.8851000070571899,MabUcb1
9800,57,0.8877999782562256,MabUcb1
9900,58,0.8909000158309937,MabUcb1
10000,58,0.8955000042915344,MabUcb1
10100,59,0.896399974822998,MabUcb1
10200,59,0.8942999839782715,MabUcb1
10300,60,0.892799973487854,MabUcb1
10400,60,0.8889999985694885,MabUcb1
10500,61,0.8833000063896179,MabUcb1
10600,61,0.8780999779701233,MabUcb1
10700,62,0.880299985408783,MabUcb1
10800,63,0.8931999802589417,MabUcb1
10900,63,0.9017000198364258,MabUcb1
11000,64,0.9057999849319458,MabUcb1
11100,64,0.9061999917030334,MabUcb1
11200,65,0.9049000144004822,MabUcb1
11300,65,0.9020000100135803,MabUcb1
11400,66,0.895799994468689,MabUcb1
11500,67,0.8921999931335449,MabUcb1
11600,67,0.8924999833106995,MabUcb1
11700,68,0.8937000036239624,MabUcb1
11800,68,0.8985999822616577,MabUcb1
11900,69,0.9043999910354614,MabUcb1
12000,70,0.9082000255584717,MabUcb1
12100,70,0.9100000262260437,MabUcb1
12200,71,0.9125000238418579,MabUcb1
12300,71,0.9120000004768372,MabUcb1
12400,72,0.9120000004768372,MabUcb1
12500,73,0.9103000164031982,MabUcb1
12600,73,0.909600019454956,MabUcb1
12700,74,0.9089000225067139,MabUcb1
12800,74,0.90829998254776,MabUcb1
12900,75,0.9092000126838684,MabUcb1
13000,76,0.9106000065803528,MabUcb1
13100,76,0.9107000231742859,MabUcb1
13200,77,0.9122999906539917,MabUcb1
13300,77,0.9122999906539917,MabUcb1
13400,78,0.9140999913215637,MabUcb1
13500,78,0.9146000146865845,MabUcb1
13600,79,0.9136999845504761,MabUcb1
13700,80,0.9139000177383423,MabUcb1
13800,80,0.9153000116348267,MabUcb1
13900,81,0.9158999919891357,MabUcb1
14000,81,0.9156000018119812,MabUcb1
14100,82,0.9158999919891357,MabUcb1
14200,82,0.9157000184059143,MabUcb1
14300,83,0.9146999716758728,MabUcb1
14400,84,0.9138000011444092,MabUcb1
14500,84,0.9136999845504761,MabUcb1
14600,85,0.9129999876022339,MabUcb1
14700,85,0.9125999808311462,MabUcb1
14800,86,0.9138000011444092,MabUcb1
14900,87,0.9135000109672546,MabUcb1
15000,87,0.9139999747276306,MabUcb1
15100,88,0.9143000245094299,MabUcb1
15200,88,0.9138000011444092,MabUcb1
15300,89,0.9136999845504761,MabUcb1
15400,90,0.9126999974250793,MabUcb1
15500,90,0.9124000072479248,MabUcb1
15600,91,0.9132999777793884,MabUcb1
15700,91,0.9144999980926514,MabUcb1
15800,92,0.9154000282287598,MabUcb1
15900,92,0.9154999852180481,MabUcb1
16000,93,0.9182999730110168,MabUcb1
16100,94,0.9189000129699707,MabUcb1
16200,94,0.9185000061988831,MabUcb1
16300,95,0.9189000129699707,MabUcb1
16400,95,0.9187999963760376,MabUcb1
16500,96,0.9196000099182129,MabUcb1
16600,97,0.919700026512146,MabUcb1
16700,97,0.9200999736785889,MabUcb1
16800,98,0.9204000234603882,MabUcb1
16900,98,0.9205999970436096,MabUcb1
17000,99,0.921500027179718,MabUcb1
17100,100,0.9211999773979187,MabUcb1
17200,100,0.9207000136375427,MabUcb1
17300,101,0.9204999804496765,MabUcb1
17400,101,0.9204999804496765,MabUcb1
17500,102,0.9205999970436096,MabUcb1
17600,102,0.9203000068664551,MabUcb1
17700,103,0.9205999970436096,MabUcb1
17800,104,0.9208999872207642,MabUcb1
17900,104,0.921999990940094,MabUcb1
18000,105,0.9214000105857849,MabUcb1
18100,105,0.9215999841690063,MabUcb1
18200,106,0.9226999878883362,MabUcb1
18300,107,0.9225999712944031,MabUcb1
18400,107,0.9228000044822693,MabUcb1
18500,108,0.92330002784729,MabUcb1
18600,108,0.9228000044822693,MabUcb1
18700,109,0.92330002784729,MabUcb1
18800,110,0.92330002784729,MabUcb1
18900,110,0.9228000044822693,MabUcb1
19000,111,0.9232000112533569,MabUcb1
19100,111,0.9239000082015991,MabUcb1
19200,112,0.9233999848365784,MabUcb1
19300,112,0.9235000014305115,MabUcb1
19400,113,0.9236999750137329,MabUcb1
19500,114,0.9236000180244446,MabUcb1
19600,114,0.9241999983787537,MabUcb1
19700,115,0.9243000149726868,MabUcb1
19800,115,0.9248999953269958,MabUcb1
19900,116,0.9254000186920166,MabUcb1
20000,117,0.9244999885559082,MabUcb1
20100,117,0.9239000082015991,MabUcb1
20200,118,0.9240000247955322,MabUcb1
20300,118,0.9246000051498413,MabUcb1
20400,119,0.9240000247955322,MabUcb1
20500,119,0.9243999719619751,MabUcb1
20600,120,0.92330002784729,MabUcb1
20700,121,0.9221000075340271,MabUcb1
20800,121,0.9215999841690063,MabUcb1
20900,122,0.9199000000953674,MabUcb1
21000,122,0.9190999865531921,MabUcb1
21100,123,0.9200000166893005,MabUcb1
21200,124,0.9203000068664551,MabUcb1
21300,124,0.9199000000953674,MabUcb1
21400,125,0.9199000000953674,MabUcb1
21500,125,0.9193999767303467,MabUcb1
21600,126,0.920799970626831,MabUcb1
21700,126,0.9225000143051147,MabUcb1
21800,127,0.9269999861717224,MabUcb1
21900,128,0.9276000261306763,MabUcb1
22000,128,0.9280999898910522,MabUcb1
22100,129,0.9283000230789185,MabUcb1
22200,129,0.928600013256073,MabUcb1
22300,130,0.9289000034332275,MabUcb1
22400,130,0.929099977016449,MabUcb1
22500,131,0.929099977016449,MabUcb1
22600,132,0.9282000064849854,MabUcb1
22700,132,0.9279000163078308,MabUcb1
22800,133,0.9277999997138977,MabUcb1
22900,133,0.9265000224113464,MabUcb1
23000,134,0.926800012588501,MabUcb1
23100,135,0.9269999861717224,MabUcb1
23200,135,0.926800012588501,MabUcb1
23300,136,0.9275000095367432,MabUcb1
23400,136,0.9284999966621399,MabUcb1
23500,137,0.9297999739646912,MabUcb1
23600,138,0.9308000206947327,MabUcb1
23700,138,0.930400013923645,MabUcb1
23800,139,0.9286999702453613,MabUcb1
23900,139,0.929099977016449,MabUcb1
24000,140,0.9283999800682068,MabUcb1
24100,140,0.9283999800682068,MabUcb1
24200,141,0.9297999739646912,MabUcb1
24300,142,0.9293000102043152,MabUcb1
24400,142,0.9294999837875366,MabUcb1
24500,143,0.928600013256073,MabUcb1
24600,143,0.9283000230789185,MabUcb1
24700,144,0.9280999898910522,MabUcb1
24800,145,0.9279999732971191,MabUcb1
24900,145,0.9275000095367432,MabUcb1
25000,146,0.9293000102043152,MabUcb1
25100,146,0.9304999709129333,MabUcb1
25200,147,0.9315000176429749,MabUcb1
25300,148,0.9318000078201294,MabUcb1
25400,148,0.9326000213623047,MabUcb1
25500,149,0.9315000176429749,MabUcb1
25600,149,0.9302999973297119,MabUcb1
25700,150,0.9289000034332275,MabUcb1
25800,151,0.9272000193595886,MabUcb1
25900,151,0.9251999855041504,MabUcb1
26000,152,0.921999990940094,MabUcb1
26100,152,0.9210000038146973,MabUcb1
26200,153,0.9193999767303467,MabUcb1
26300,154,0.920799970626831,MabUcb1
26400,154,0.9225999712944031,MabUcb1
26500,155,0.9259999990463257,MabUcb1
26600,155,0.9287999868392944,MabUcb1
26700,156,0.9294000267982483,MabUcb1
26800,157,0.9298999905586243,MabUcb1
26900,157,0.9286999702453613,MabUcb1
27000,158,0.9291999936103821,MabUcb1
27100,158,0.9279999732971191,MabUcb1
27200,159,0.9262999892234802,MabUcb1
27300,160,0.9244999885559082,MabUcb1
27400,160,0.9226999878883362,MabUcb1
27500,161,0.921999990940094,MabUcb1
27600,161,0.9233999848365784,MabUcb1
27700,162,0.927299976348877,MabUcb1
27800,162,0.9320999979972839,MabUcb1
27900,163,0.932699978351593,MabUcb1
28000,164,0.9330000281333923,MabUcb1
28100,164,0.9312000274658203,MabUcb1
28200,165,0.9308000206947327,MabUcb1
28300,165,0.9296000003814697,MabUcb1
28400,166,0.9297000169754028,MabUcb1
28500,167,0.9261999726295471,MabUcb1
28600,167,0.9280999898910522,MabUcb1
28700,168,0.930899977684021,MabUcb1
28800,168,0.9322999715805054,MabUcb1
28900,169,0.9309999942779541,MabUcb1
29000,170,0.9319000244140625,MabUcb1
29100,170,0.9309999942779541,MabUcb1
29200,171,0.9302999973297119,MabUcb1
29300,171,0.9289000034332275,MabUcb1
29400,172,0.9247000217437744,MabUcb1
29500,173,0.9203000068664551,MabUcb1
29600,173,0.9197999835014343,MabUcb1
29700,174,0.9218999743461609,MabUcb1
29800,174,0.9261000156402588,MabUcb1
29900,175,0.9297000169754028,MabUcb1
30000,175,0.9337000250816345,MabUcb1
30100,176,0.9359999895095825,MabUcb1
30200,177,0.9386000037193298,MabUcb1
30300,177,0.9362999796867371,MabUcb1
30400,178,0.9348000288009644,MabUcb1
30500,178,0.9329000115394592,MabUcb1
30600,179,0.932200014591217,MabUcb1
30700,180,0.9315999746322632,MabUcb1
30800,180,0.9320999979972839,MabUcb1
30900,181,0.9316999912261963,MabUcb1
31000,181,0.9361000061035156,MabUcb1
31100,182,0.9366999864578247,MabUcb1
31200,183,0.9363999962806702,MabUcb1
31300,183,0.9359999895095825,MabUcb1
31400,184,0.9340999722480774,MabUcb1
31500,184,0.9337000250816345,MabUcb1
31600,185,0.933899998664856,MabUcb1
31700,185,0.9337000250816345,MabUcb1
31800,186,0.9343000054359436,MabUcb1
31900,186,0.933899998664856,MabUcb1
32000,187,0.9344000220298767,MabUcb1
32100,188,0.9355999827384949,MabUcb1
32200,188,0.9361000061035156,MabUcb1
32300,189,0.9380000233650208,MabUcb1
32400,189,0.9388999938964844,MabUcb1
32500,190,0.9383999705314636,MabUcb1
32600,190,0.9387000203132629,MabUcb1
32700,191,0.9386000037193298,MabUcb1
32800,192,0.9375,MabUcb1
32900,192,0.9376000165939331,MabUcb1
33000,193,0.9384999871253967,MabUcb1
33100,193,0.9401000142097473,MabUcb1
33200,194,0.9397000074386597,MabUcb1
33300,194,0.9401999711990356,MabUcb1
33400,195,0.9404000043869019,MabUcb1
33500,196,0.9401000142097473,MabUcb1
33600,196,0.9399999976158142,MabUcb1
33700,197,0.9394999742507935,MabUcb1
33800,197,0.9388999938964844,MabUcb1
33900,198,0.9376999735832214,MabUcb1
34000,198,0.9361000061035156,MabUcb1
34100,199,0.9362000226974487,MabUcb1
34200,199,0.9365000128746033,MabUcb1
34300,200,0.9384999871253967,MabUcb1
34400,201,0.9394000172615051,MabUcb1
34500,201,0.9388999938964844,MabUcb1
34600,202,0.9402999877929688,MabUcb1
34700,202,0.9416000247001648,MabUcb1
34800,203,0.9409999847412109,MabUcb1
34900,203,0.941100001335144,MabUcb1
35000,204,0.941100001335144,MabUcb1
35100,204,0.9401999711990356,MabUcb1
35200,205,0.9380000233650208,MabUcb1
35300,206,0.9375,MabUcb1
35400,206,0.9373000264167786,MabUcb1
35500,207,0.9375,MabUcb1
35600,207,0.9365000128746033,MabUcb1
35700,208,0.9365000128746033,MabUcb1
35800,209,0.9359999895095825,MabUcb1
35900,209,0.9362999796867371,MabUcb1
36000,210,0.9380000233650208,MabUcb1
36100,210,0.9384999871253967,MabUcb1
36200,211,0.9388999938964844,MabUcb1
36300,211,0.9401000142097473,MabUcb1
36400,212,0.9408000111579895,MabUcb1
36500,213,0.9422000050544739,MabUcb1
36600,213,0.9416999816894531,MabUcb1
36700,214,0.9409999847412109,MabUcb1
36800,214,0.9408000111579895,MabUcb1
36900,215,0.9409000277519226,MabUcb1
37000,215,0.9397000074386597,MabUcb1
37100,216,0.9387000203132629,MabUcb1
37200,217,0.9387999773025513,MabUcb1
37300,217,0.9398000240325928,MabUcb1
37400,218,0.9416000247001648,MabUcb1
37500,218,0.942799985408783,MabUcb1
37600,219,0.944100022315979,MabUcb1
37700,220,0.9455000162124634,MabUcb1
37800,220,0.9437000155448914,MabUcb1
37900,221,0.9440000057220459,MabUcb1
38000,221,0.9431999921798706,MabUcb1
38100,222,0.9427000284194946,MabUcb1
38200,222,0.9413999915122986,MabUcb1
38300,223,0.9409999847412109,MabUcb1
38400,224,0.9402999877929688,MabUcb1
38500,224,0.9412999749183655,MabUcb1
38600,225,0.9419000148773193,MabUcb1
38700,225,0.9430999755859375,MabUcb1
38800,226,0.9448000192642212,MabUcb1
38900,227,0.9452000260353088,MabUcb1
39000,227,0.9452000260353088,MabUcb1
39100,228,0.9452999830245972,MabUcb1
39200,228,0.9451000094413757,MabUcb1
39300,229,0.9449999928474426,MabUcb1
39400,229,0.9448000192642212,MabUcb1
39500,230,0.944599986076355,MabUcb1
39600,231,0.9451000094413757,MabUcb1
39700,231,0.9448999762535095,MabUcb1
39800,232,0.944100022315979,MabUcb1
39900,232,0.9442999958992004,MabUcb1
40000,233,0.9448999762535095,MabUcb1
40100,233,0.9455999732017517,MabUcb1
40200,234,0.9448999762535095,MabUcb1
40300,235,0.9451000094413757,MabUcb1
40400,235,0.9453999996185303,MabUcb1
40500,236,0.945900022983551,MabUcb1
40600,236,0.9466999769210815,MabUcb1
40700,237,0.9473999738693237,MabUcb1
40800,237,0.9480000138282776,MabUcb1
40900,238,0.9484000205993652,MabUcb1
41000,239,0.948199987411499,MabUcb1
41100,239,0.9483000040054321,MabUcb1
41200,240,0.9480999708175659,MabUcb1
41300,240,0.9480000138282776,MabUcb1
41400,241,0.9473999738693237,MabUcb1
41500,242,0.9473999738693237,MabUcb1
41600,242,0.9473000168800354,MabUcb1
41700,243,0.9472000002861023,MabUcb1
41800,243,0.9472000002861023,MabUcb1
41900,244,0.9477999806404114,MabUcb1
42000,244,0.9478999972343445,MabUcb1
42100,245,0.9473999738693237,MabUcb1
42200,246,0.9485999941825867,MabUcb1
42300,246,0.9485999941825867,MabUcb1
42400,247,0.9488000273704529,MabUcb1
42500,247,0.9480999708175659,MabUcb1
42600,248,0.9476000070571899,MabUcb1
42700,248,0.9483000040054321,MabUcb1
42800,249,0.9484000205993652,MabUcb1
42900,250,0.947700023651123,MabUcb1
43000,250,0.948199987411499,MabUcb1
43100,251,0.9469000101089478,MabUcb1
43200,251,0.9467999935150146,MabUcb1
43300,252,0.9456999897956848,MabUcb1
43400,253,0.9445000290870667,MabUcb1
43500,253,0.9445000290870667,MabUcb1
43600,254,0.9448999762535095,MabUcb1
43700,254,0.9456999897956848,MabUcb1
43800,255,0.9465000033378601,MabUcb1
43900,256,0.947700023651123,MabUcb1
44000,256,0.9484999775886536,MabUcb1
44100,257,0.9485999941825867,MabUcb1
44200,257,0.9488999843597412,MabUcb1
44300,258,0.9495999813079834,MabUcb1
44400,258,0.9490000009536743,MabUcb1
44500,259,0.9491999745368958,MabUcb1
44600,259,0.9490000009536743,MabUcb1
44700,260,0.9484999775886536,MabUcb1
44800,261,0.947700023651123,MabUcb1
44900,261,0.9470999836921692,MabUcb1
45000,262,0.9466999769210815,MabUcb1
45100,262,0.9465000033378601,MabUcb1
45200,263,0.9476000070571899,MabUcb1
45300,264,0.9484999775886536,MabUcb1
45400,264,0.9495999813079834,MabUcb1
45500,265,0.9502000212669373,MabUcb1
45600,265,0.9509999752044678,MabUcb1
45700,266,0.9516000151634216,MabUcb1
45800,266,0.9513000249862671,MabUcb1
45900,267,0.9513999819755554,MabUcb1
46000,268,0.9524000287055969,MabUcb1
46100,268,0.9519000053405762,MabUcb1
46200,269,0.95169997215271,MabUcb1
46300,269,0.9513000249862671,MabUcb1
46400,270,0.9508000016212463,MabUcb1
46500,271,0.9506999850273132,MabUcb1
46600,271,0.9509999752044678,MabUcb1
46700,272,0.9513000249862671,MabUcb1
46800,272,0.9506000280380249,MabUcb1
46900,273,0.9502000212669373,MabUcb1
47000,274,0.9505000114440918,MabUcb1
47100,274,0.9510999917984009,MabUcb1
47200,275,0.95169997215271,MabUcb1
47300,275,0.9514999985694885,MabUcb1
47400,276,0.9510999917984009,MabUcb1
47500,277,0.9506999850273132,MabUcb1
47600,277,0.9506000280380249,MabUcb1
47700,278,0.9506999850273132,MabUcb1
